"advertiserId","programmeName","conversionRate","approvalRate","epc","launchDate","paymentStatus","paymentRiskLevel","awinIndex","feedEnabled","productReporting","commissionMin","commissionMax","leadMin","leadMax","cookieLength","parentSectors","subSectors","primarySector","averagePaymentTime","primaryRegion","descriptionShort","logoUrl","displayUrl"
"32679","SamBoat US","1.5029","94.44","0.18","2022-09-20","amber","exposurelevel4","83.3538","no","no","0","0","0","0","30","Travel","Cruises/Ferries|Tourism & Attractions|Travel Agencies","Cruises/Ferries","null","US","SamBoat is the fastest-growing global platform for boat rental, enabling curious travellers and seasoned sailors to experience the joy of being at sea. Customers can compare thousands of listings in seconds and book the perfect boat at the best price.","https://ui.awin.com/images/upload/merchant/profile/32679.png","https://www.samboat.com/"
"119761","Yeloly","6.16612","51.43","2.44","2025-09-15","amber","exposurelevel4","54.8866","yes","no","0","0","0","0","30","Retail & Shopping","Erotic","Erotic","111","US","Looking for sincere partners. We hope you can earn a lot of commissions.","https://ui.awin.com/images/upload/merchant/profile/119761.png","https://www.yeloly.com/"
"40454","lunzo PL","1.14844","68.27","0.04","2023-03-09","amber","exposurelevel2","58.5397","yes","no","0","0","0","0","25","Retail & Shopping","Audio Visual|Automotive|Books & Subscriptions|Childrenswear|Clothing|Clothing Accessories|Computers|Department Stores|DIY|Electronic Accessories|Electronic Superstore|Entertainment Superstore|Erotic|FMCG|Furniture & Soft Furnishings|Gadgets|Gifts & Flowers|Green (Eco friendly)|Group Buying|Health & Beauty|Home & Garden|Jewellery|Lead Gen|Lingerie|Menswear|Music & DVD|Office Supplies|PC & Video Games|Pets & Pet Care|Pharmaceuticals|Photography|Photos & Print Services|Shoes|Sports Equipment|Sportswear|Toys & Games|White Goods|Wine Spirits & Tobacco|Womenswear|Baby & Toddler","Entertainment Superstore","60","PL","Lunzo.pl oferuje tysiące wysokiej jakości i niedrogich produktów.","https://ui.awin.com/images/upload/merchant/profile/40454.png","https://www.lunzo.pl"
"104549","AlorairCrawlspace","6.29211","99.68","4.89","2025-08-05","green","none","90.9713","yes","yes","0","0","0","0","90","Retail & Shopping","Home & Garden","Home & Garden","21","US","ALORAIR was founded in 2012.As an innovative technology company, we have a profound R&D background and have spared no effort to increase R&D investment. We are committed to providing customers with high - quality products and services. We strive","https://ui.awin.com/images/upload/merchant/profile/104549.png","https://www.aloraircrawlspace.com"
"40452","Lunzo HU","6.10664","74.80","0.05","2023-03-09","amber","exposurelevel2","67.1041","yes","no","0","0","0","0","25","Retail & Shopping","Audio Visual|Automotive|Books & Subscriptions|Childrenswear|Clothing|Clothing Accessories|Computers|Department Stores|DIY|Electronic Accessories|Electronic Superstore|Entertainment Superstore|Erotic|FMCG|Furniture & Soft Furnishings|Gadgets|Gifts & Flowers|Green (Eco friendly)|Group Buying|Health & Beauty|Home & Garden|Jewellery|Lead Gen|Lingerie|Menswear|Music & DVD|Office Supplies|PC & Video Games|Pets & Pet Care|Pharmaceuticals|Photography|Photos & Print Services|Shoes|Sports Equipment|Sportswear|Toys & Games|White Goods|Wine Spirits & Tobacco|Womenswear|Baby & Toddler","Entertainment Superstore","63","HU","Lunzo.hu offers thousands of high-quality and affordable products.","https://ui.awin.com/images/upload/merchant/profile/40452.png","https://www.lunzo.hu/"
"91139","ZAPAKA VINTAGE, Inc.","1.00744","80.70","0.11","2025-06-25","green","none","43.3326","yes","yes","0","0","0","0","30","Retail & Shopping","Clothing","Clothing","71","US","ZAPAKA is a vintage online boutique, the website is zapaka.com. We ship thousands of orders daily all over the world, especially in Europe and America. Our average sale amount is around one million dollars every month.
Fo","https://ui.awin.com/images/upload/merchant/profile/91139.png","https://zapaka.com"
"128231","LandJet","","0.00","0.00","2026-09-03","green","none","","no","no","0","0","0","0","30","Telco's & Services|Travel","Business Services (B2B)|Airlines|Airport Parking & Transfers|Car Rental|Coaches|Tourism & Attractions|Trains|Travel Agencies","Travel Agencies","null","US","LandJet is a premier U.S.-based luxury ground transportation company redefining regional travel through elevated comfort, sophistication, and seamless service. Catering to executives, professionals, families, and private groups","https://ui.awin.com/images/upload/merchant/profile/128231.png","https://landjet.com/"
"119629","PURTY BODY Affiliate Program","14.6872","99.74","0.66","2025-10-03","amber","exposurelevel6","75.6136","yes","no","0","0","0","0","30","Retail & Shopping","Clothing|Clothing Accessories|Lingerie|Womenswear","Lingerie","140","US","Purtybody is a fashion-forward brand created to solve one of the most common yet least talked about challenges in women’s apparel: the discomfort and appearance of “camel toe.”","https://ui.awin.com/images/upload/merchant/profile/119629.png","https://purtybody.com/"
"32471","Eonon (US)","7.98202","99.24","0.76","2022-08-24","amber","exposurelevel2","52.7142","yes","yes","0","0","0","0","30","Retail & Shopping","Audio Visual|Automotive|Electronic Accessories","Audio Visual","88","US","We are Eonon, we are a car stereo seller, we will have some discounts every week and a large Clearance Sale every month, up to 59%.","https://ui.awin.com/images/upload/merchant/profile/32471.png","https://www.eonon.com/Default.aspx"
"127793","Evago (US)","","0.00","0.00","2026-06-18","amber","exposurelevel1","0","no","no","0","0","0","0","30","Travel","Airlines|Travel Agencies","Travel Agencies","null","US","Evago helps travel businesses connect with high-intent travelers through targeted advertising, featured placements, and qualified lead generation opportunities. Our platform increases visibility, drives customer engagement, and delivers potential bookings","https://ui.awin.com/images/upload/merchant/profile/127793.png","https://evago.org/"
