brand,advertiser_id,account,joined_on_accounts,status,website,category,used_on_sites,affiliate_link,affiliate_link_3075433,html_link,deep_link_prefix,deep_link_home,logo_url,awin_profile
Abracadabra NYC,83201,3067297,3067297,joined,https://abracadabranyc.com/,Clothing,costumescout,https://www.awin1.com/cread.php?awinmid=83201&awinaffid=3067297,,"<a href=""https://www.awin1.com/cread.php?awinmid=83201&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">Abracadabra NYC</a>",https://www.awin1.com/cread.php?awinmid=83201&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=83201&awinaffid=3067297&ued=https%3A%2F%2Fabracadabranyc.com%2F,https://ui.awin.com/images/upload/merchant/profile/83201.png,https://ui.awin.com/merchant-profile/83201
Alison US CA,120101,3067297,3067297 + 3075433,joined,https://alison.com/,"Education, Training & Recruitment",realskillset,https://www.awin1.com/cread.php?awinmid=120101&awinaffid=3067297,https://www.awin1.com/cread.php?awinmid=120101&awinaffid=3075433,"<a href=""https://www.awin1.com/cread.php?awinmid=120101&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">Alison US CA</a>",https://www.awin1.com/cread.php?awinmid=120101&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=120101&awinaffid=3067297&ued=https%3A%2F%2Falison.com%2F,https://ui.awin.com/images/upload/merchant/profile/120101.png,https://ui.awin.com/merchant-profile/120101
Allove Hair (Xuchang Aixiu),50899,3067297,3067297,joined,https://www.allovehair.com/,Clothing Accessories,hairstyle.company,https://www.awin1.com/cread.php?awinmid=50899&awinaffid=3067297,,"<a href=""https://www.awin1.com/cread.php?awinmid=50899&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">Allove Hair (Xuchang Aixiu)</a>",https://www.awin1.com/cread.php?awinmid=50899&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=50899&awinaffid=3067297&ued=https%3A%2F%2Fwww.allovehair.com%2F,https://ui.awin.com/images/upload/merchant/profile/50899.png,https://ui.awin.com/merchant-profile/50899
AlorAir Crawlspace,104549,3067297,3067297,joined,https://www.aloraircrawlspace.com/,Home & Garden,homewellnessdeals,https://www.awin1.com/cread.php?awinmid=104549&awinaffid=3067297,,"<a href=""https://www.awin1.com/cread.php?awinmid=104549&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">AlorAir Crawlspace</a>",https://www.awin1.com/cread.php?awinmid=104549&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=104549&awinaffid=3067297&ued=https%3A%2F%2Fwww.aloraircrawlspace.com%2F,https://ui.awin.com/images/upload/merchant/profile/104549.png,https://ui.awin.com/merchant-profile/104549
AlorAir – The Dry Air,124284,3067297,3067297,joined,https://thedryair.com/,Department Stores,homewellnessdeals,https://www.awin1.com/cread.php?awinmid=124284&awinaffid=3067297,,"<a href=""https://www.awin1.com/cread.php?awinmid=124284&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">AlorAir – The Dry Air</a>",https://www.awin1.com/cread.php?awinmid=124284&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=124284&awinaffid=3067297&ued=https%3A%2F%2Fthedryair.com%2F,https://ui.awin.com/images/upload/merchant/profile/124284.png,https://ui.awin.com/merchant-profile/124284
Argendon,126513,3067297,3067297,joined,https://www.argendon.com/,Home & Garden,homewellnessdeals,https://www.awin1.com/cread.php?awinmid=126513&awinaffid=3067297,,"<a href=""https://www.awin1.com/cread.php?awinmid=126513&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">Argendon</a>",https://www.awin1.com/cread.php?awinmid=126513&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=126513&awinaffid=3067297&ued=https%3A%2F%2Fwww.argendon.com%2F,https://ui.awin.com/images/upload/merchant/profile/126513.png,https://ui.awin.com/merchant-profile/126513
Blimburn Seeds,113386,3067297,3067297,joined,https://blimburnseeds.com/,Home & Garden,flowerofheaven,https://www.awin1.com/cread.php?awinmid=113386&awinaffid=3067297,,"<a href=""https://www.awin1.com/cread.php?awinmid=113386&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">Blimburn Seeds</a>",https://www.awin1.com/cread.php?awinmid=113386&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=113386&awinaffid=3067297&ued=https%3A%2F%2Fblimburnseeds.com%2F,https://ui.awin.com/images/upload/merchant/profile/113386.png,https://ui.awin.com/merchant-profile/113386
BRKOX,129093,3067297,3067297,joined,https://brkox.com/,DIY,homewellnessdeals,https://www.awin1.com/cread.php?awinmid=129093&awinaffid=3067297,,"<a href=""https://www.awin1.com/cread.php?awinmid=129093&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">BRKOX</a>",https://www.awin1.com/cread.php?awinmid=129093&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=129093&awinaffid=3067297&ued=https%3A%2F%2Fbrkox.com%2F,https://ui.awin.com/images/upload/merchant/profile/129093.png,https://ui.awin.com/merchant-profile/129093
Brookwood Med,124250,3067297,3067297,joined,https://brookwoodmed.com/,Health & Beauty,medicalsupplie,https://www.awin1.com/cread.php?awinmid=124250&awinaffid=3067297,,"<a href=""https://www.awin1.com/cread.php?awinmid=124250&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">Brookwood Med</a>",https://www.awin1.com/cread.php?awinmid=124250&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=124250&awinaffid=3067297&ued=https%3A%2F%2Fbrookwoodmed.com%2F,https://ui.awin.com/images/upload/merchant/profile/124250.png,https://ui.awin.com/merchant-profile/124250
Canvas Vows,90193,3067297,3067297,joined,https://www.canvasvows.com/,Home & Garden,luxurytravel,https://www.awin1.com/cread.php?awinmid=90193&awinaffid=3067297,,"<a href=""https://www.awin1.com/cread.php?awinmid=90193&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">Canvas Vows</a>",https://www.awin1.com/cread.php?awinmid=90193&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=90193&awinaffid=3067297&ued=https%3A%2F%2Fwww.canvasvows.com%2F,https://ui.awin.com/images/upload/merchant/profile/90193.png,https://ui.awin.com/merchant-profile/90193
Contactlensesplus Affiliate US,127209,3067297,3067297,joined,https://www.contactlensesplus.com/,Health & Beauty,lensloop,https://www.awin1.com/cread.php?awinmid=127209&awinaffid=3067297,,"<a href=""https://www.awin1.com/cread.php?awinmid=127209&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">Contactlensesplus Affiliate US</a>",https://www.awin1.com/cread.php?awinmid=127209&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=127209&awinaffid=3067297&ued=https%3A%2F%2Fwww.contactlensesplus.com%2F,https://ui.awin.com/images/upload/merchant/profile/127209.png,https://ui.awin.com/merchant-profile/127209
Cozeware,123618,3067297,3067297,joined,https://www.cozeware.com/,Home & Garden,homewellnessdeals,https://www.awin1.com/cread.php?awinmid=123618&awinaffid=3067297,,"<a href=""https://www.awin1.com/cread.php?awinmid=123618&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">Cozeware</a>",https://www.awin1.com/cread.php?awinmid=123618&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=123618&awinaffid=3067297&ued=https%3A%2F%2Fwww.cozeware.com%2F,https://ui.awin.com/images/upload/merchant/profile/123618.png,https://ui.awin.com/merchant-profile/123618
DeerRun UK,106313,3067297,3067297,joined,https://uk.deerruntreadmill.com/,Sports Equipment,buybeststores.uk,https://www.awin1.com/cread.php?awinmid=106313&awinaffid=3067297,,"<a href=""https://www.awin1.com/cread.php?awinmid=106313&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">DeerRun UK</a>",https://www.awin1.com/cread.php?awinmid=106313&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=106313&awinaffid=3067297&ued=https%3A%2F%2Fuk.deerruntreadmill.com%2F,https://ui.awin.com/images/upload/merchant/profile/106313.png,https://ui.awin.com/merchant-profile/106313
Dima Eyewear (US),128033,3067297,3067297,joined,https://dimaeyewear.com/,Clothing Accessories,lensloop,https://www.awin1.com/cread.php?awinmid=128033&awinaffid=3067297,,"<a href=""https://www.awin1.com/cread.php?awinmid=128033&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">Dima Eyewear (US)</a>",https://www.awin1.com/cread.php?awinmid=128033&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=128033&awinaffid=3067297&ued=https%3A%2F%2Fdimaeyewear.com%2F,https://ui.awin.com/images/upload/merchant/profile/128033.png,https://ui.awin.com/merchant-profile/128033
Distacart,95519,3067297,3067297,joined,https://www.distacart.com/,Health & Beauty,desi.markets,https://www.awin1.com/cread.php?awinmid=95519&awinaffid=3067297,,"<a href=""https://www.awin1.com/cread.php?awinmid=95519&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">Distacart</a>",https://www.awin1.com/cread.php?awinmid=95519&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=95519&awinaffid=3067297&ued=https%3A%2F%2Fwww.distacart.com%2F,https://ui.awin.com/images/upload/merchant/profile/95519.png,https://ui.awin.com/merchant-profile/95519
"Dr. Speron's Natural Skin Care, LLC",71453,3067297,3067297,joined,https://www.DrSperonsNaturalSkinCare.com/,Health & Beauty,,https://www.awin1.com/cread.php?awinmid=71453&awinaffid=3067297,,"<a href=""https://www.awin1.com/cread.php?awinmid=71453&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">Dr. Speron's Natural Skin Care, LLC</a>",https://www.awin1.com/cread.php?awinmid=71453&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=71453&awinaffid=3067297&ued=https%3A%2F%2Fwww.DrSperonsNaturalSkinCare.com%2F,https://ui.awin.com/images/upload/merchant/profile/71453.png,https://ui.awin.com/merchant-profile/71453
EasyClaw,126975,3067297,3067297,joined,https://easyclaw.com/,Software Downloads,getservices,https://www.awin1.com/cread.php?awinmid=126975&awinaffid=3067297,,"<a href=""https://www.awin1.com/cread.php?awinmid=126975&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">EasyClaw</a>",https://www.awin1.com/cread.php?awinmid=126975&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=126975&awinaffid=3067297&ued=https%3A%2F%2Feasyclaw.com%2F,https://ui.awin.com/images/upload/merchant/profile/126975.png,https://ui.awin.com/merchant-profile/126975
Eonon (US),32471,3067297,3067297,joined,https://www.eonon.com/,Audio Visual,drivezone,https://www.awin1.com/cread.php?awinmid=32471&awinaffid=3067297,,"<a href=""https://www.awin1.com/cread.php?awinmid=32471&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">Eonon (US)</a>",https://www.awin1.com/cread.php?awinmid=32471&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=32471&awinaffid=3067297&ued=https%3A%2F%2Fwww.eonon.com%2F,https://ui.awin.com/images/upload/merchant/profile/32471.png,https://ui.awin.com/merchant-profile/32471
Evago (US),127793,3067297,3067297,joined,https://evago.org/,Travel Agencies,flyhorizons,https://www.awin1.com/cread.php?awinmid=127793&awinaffid=3067297,,"<a href=""https://www.awin1.com/cread.php?awinmid=127793&awinaffid=3067297"" target=""_blank"" rel=""sponsored noopener"">Evago (US)</a>",https://www.awin1.com/cread.php?awinmid=127793&awinaffid=3067297&ued=,https://www.awin1.com/cread.php?awinmid=127793&awinaffid=3067297&ued=https%3A%2F%2Fevago.org%2F,https://ui.awin.com/images/upload/merchant/profile/127793.png,https://ui.awin.com/merchant-profile/127793
