advertiser_id,brand,website,category,sub_categories,region,joined_on_accounts,primary_account,status,product_feed,cookie_days,epc,conversion_rate,approval_rate,payment_status,avg_payment_days,launch_date,logo_url,notes,description
83201,Abracadabra NYC,https://abracadabranyc.com/,Clothing,Clothing|Clothing Accessories|Erotic|Gadgets|Gifts & Flowers|Health & Beauty|Home & Garden|Jewellery|Lingerie|Menswear|Shoes|Toys & Games|Womenswear,US,3067297,3067297,joined,yes,45,0.08,4.36056,98.86,green,22,2025-05-29,https://ui.awin.com/images/upload/merchant/profile/83201.png,,"Welcome to AbracadabraNYC! Thanks For Checking Us Out! Website: https://abracadabranyc.com/ Since 1981 we're the world’s most unique magic & costume store, located in the heart of NYC!"
120101,Alison US CA,https://alison.com/,"Education, Training & Recruitment",Education Training & Recruitment,US,3067297;3075433,3067297,joined,yes,30,0.24,3.08223,98.40,amber,52,2025-12-06,https://ui.awin.com/images/upload/merchant/profile/120101.png,,"Founded in 2007, Alison is the world’s largest free online empowerment platform for education and skills training. We offer over 6000 CPD accredited courses and a range of impactful career development tools."
50899,Allove Hair (Xuchang Aixiu),https://www.allovehair.com/,Clothing Accessories,Clothing Accessories,US,3067297,3067297,joined,no,30,0.45,7.01262,85.60,green,72,2025-07-29,https://ui.awin.com/images/upload/merchant/profile/50899.png,,"Allove Hair are professional China business ,Our mission is to help females around the world feel proudly beautiful.offers High Quality 100% Human Hair Wigs ,Undetectable Lace Wigs, Frontal Lace Wigs, Closure Lace Wigs, Headband Wigs, Bob Wigs,"
104549,AlorAir Crawlspace,https://www.aloraircrawlspace.com/,Home & Garden,Home & Garden,US,3067297,3067297,joined,yes,90,4.89,6.29211,99.68,green,21,2025-08-05,https://ui.awin.com/images/upload/merchant/profile/104549.png,,"ALORAIR was founded in 2012.As an innovative technology company, we have a profound R&D background and have spared no effort to increase R&D investment. We are committed to providing customers with high - quality products and services. We strive"
124284,AlorAir – The Dry Air,https://thedryair.com/,Department Stores,Department Stores|DIY|Electronic Superstore|Group Buying|Home & Garden|White Goods,US,3067297,3067297,joined,yes,30,3.28,7.23253,81.63,amber,22,2026-02-12,https://ui.awin.com/images/upload/merchant/profile/124284.png,,"AlorAir (2012) produces ETL/Energy Star dehumidifiers for basements flood restoration. 5-year warranty, 24/7 U.S. support, fast local shipping."
126513,Argendon,https://www.argendon.com/,Home & Garden,Home & Garden,US,3067297,3067297,joined,yes,30,2.17,9.13066,100.00,amber,32,2026-05-05,https://ui.awin.com/images/upload/merchant/profile/126513.png,,"Argendon provides durable, energy-efficient dehumidifiers for basements, crawl spaces, and commercial use, helping control moisture, prevent mold, and improve indoor air quality."
113386,Blimburn Seeds,https://blimburnseeds.com/,Home & Garden,FMCG|Gifts & Flowers|Green (Eco friendly)|Home & Garden|Pharmaceuticals|Wine Spirits & Tobacco,US,3067297,3067297,joined,yes,60,1.00,3.57225,84.90,amber,53,2025-03-04,https://ui.awin.com/images/upload/merchant/profile/113386.png,,"Blimburn Seeds is a renowned seed bank since 2002, offering over 1,000 high-quality seed varieties from expert cultivators. We focus on innovation, genetic excellence, and customer satisfaction, serving a global market."
129093,BRKOX,https://brkox.com/,DIY,DIY|Home & Garden,US,3067297,3067297,joined,yes,30,0.00,,0.00,amber,null,2026-07-27,https://ui.awin.com/images/upload/merchant/profile/129093.png,,"BRKOX creates premium display frames and cases for LEGO® collectors, helping enthusiasts turn their builds into stunning home displays."
124250,Brookwood Med,https://brookwoodmed.com/,Health & Beauty,Health & Beauty|Pharmaceuticals,US,3067297,3067297,joined,yes,30,0.14,7.75487,100.00,amber,55,2026-02-11,https://ui.awin.com/images/upload/merchant/profile/124250.png,,"BrookwoodMed.com is an e-commerce platform focused on providing reliable medical, safety, and protective products for both consumers and businesses. The site offers a curated selection of essential healthcare and personal protection items designed to meet"
90193,Canvas Vows,https://www.canvasvows.com/,Home & Garden,Home & Garden,US,3067297,3067297,joined,yes,120,1.90,4.60497,98.88,green,34,2025-06-25,https://ui.awin.com/images/upload/merchant/profile/90193.png,,BECOME A CANVAS VOWS AFFILIATE PARTNER Canvas Vows makes personalized home decor canvases. We can make any size canvas fr
127209,Contactlensesplus Affiliate US,https://www.contactlensesplus.com/,Health & Beauty,Health & Beauty|Lead Gen|Pharmaceuticals,US,3067297,3067297,joined,yes,30,0.00,,0.00,amber,null,2026-08-13,https://ui.awin.com/images/upload/merchant/profile/127209.png,,"ContactLensesPlus.com offers leading contact lens brands at competitive prices, including daily, monthly, toric and multifocal lenses, with fast delivery, easy reordering and customer-focused service for convenient online lens shopping."
