site,url,niche,countries,github_repo,advertiser_ids
businessbuy,https://businessbuy.site/,Businesses,"USA, UK",business,116725
buybeststore,https://buybeststore.com/,Home essentials (Europe),"Germany, Poland, Czechia, Slovakia, Austria",buybeststore,69786 114104 54357 54355 40452
costumescout,https://costumescout.store/,Costumes,USA,CostumeScout,83201
coupondepots,https://coupondepots.info/,Affiliate marketing,USA,,115216 128579 92667
curated4her,https://curated4her.com/,Attire / accessories,USA,curated4herV2,129433 121298 121760 91139 119629 95201
flowerofheaven,https://flowerofheaven.store/,Gardening products,Spain,FLOWEROFHEAVEN,113386
getservices,https://getservices.ai/,AI companies,"China, Hong Kong, USA",,129153 126975 125752
homewellnessdeals,https://homewellnessdeals.com/,Home essentials,USA,homewellnessdeals,126513 129093 117035 99013 123618 127859 126089 104549 124284 95201 78080
jewllery,https://jewllery.store/,Jewellery,"Germany, Poland",jewellery.store,111366 122380 54357 54359
lensloop,http://lensloop.site/,Eye products,USA,lensloop,128033 124966 127209
luxurytravel,https://luxurytravel.party/,Travel / rental / canvas & brushes,"USA, France (SamBoat Bordeaux)",luxurytravel.party,92667 90193 129485 32679
medicalsupplie,https://medicalsupplie.com/,Medical / health care,USA,medicalsupplie,130233 127003 124250 124966 37118 117741
outdoorhaulers,http://outdoorhaulers.site/,Outdoor hauling gear,USA,outdoorhaulers,117613
outdoorsports,https://outdoorsports.fun/,Sports / outdoor,USA,outdoorsports.fun,125464 116187 117613 124816
realskillset,http://realskillset.com/,Learning / education,Ireland,realskillset,120101 127997
hairstyle.company,https://hairstyle.company/,Hair / wigs,USA,hairstyle.company,102013 39912 50899 129553
glowsculpt,https://glowsculpt.site/,Skin care,USA,glowsculpt.site,90879 129433 73936
ezpass.uk,https://ezpass.uk/,City passes,"USA, UK, Europe, Dubai",ezpass.uk,100613
buybeststores.uk,https://buybeststores.uk/,UK treadmills,UK,,106313
flyhorizons,https://flyhorizons.online/,Travel,USA,flyhorizons.online,127793 128231
desi.markets,https://desi.markets/,Desi Indian / Pakistani store,Worldwide,desi.markets,95519
drivezone,https://drivezone.nexus/,Car radio / audio,,,32471
